source,value,side,clip_delta
raw_net0,-12.424412727355957,below,8.424412727355957
raw_net0,5.112407684326172,above,1.1436576843261719
raw_net0,-5.547788143157959,below,1.547788143157959
raw_net0,4.650137424468994,above,0.6813874244689941
raw_net0,-4.515854358673096,below,0.5158543586730957
raw_net0,4.632378578186035,above,0.6636285781860352
raw_net0,-4.371912479400635,below,0.37191247940063477
raw_net0,-9.076871871948242,below,5.076871871948242
raw_net0,-10.359025955200195,below,6.359025955200195
raw_net0,6.107239723205566,above,2.1384897232055664
raw_net0,12.192109107971191,above,8.223359107971191
raw_net0,-4.257962703704834,below,0.257962703704834
raw_net0,7.435958385467529,above,3.4672083854675293
raw_net0,-5.750332355499268,below,1.7503323554992676
raw_net0,-4.031780242919922,below,0.031780242919921875
raw_net0,8.355401992797852,above,4.386651992797852
raw_net0,6.647867202758789,above,2.679117202758789
raw_net0,-6.732041358947754,below,2.732041358947754
raw_net0,-6.903059482574463,below,2.903059482574463
raw_net0,8.407761573791504,above,4.439011573791504
raw_net0,4.711999893188477,above,0.7432498931884766
raw_net0,4.992218017578125,above,1.023468017578125
raw_net0,7.207724094390869,above,3.238974094390869
raw_net0,7.310160160064697,above,3.3414101600646973
raw_net0,5.80684757232666,above,1.8380975723266602
raw_net0,-6.473113059997559,below,2.4731130599975586
raw_net0,-10.957045555114746,below,6.957045555114746
raw_net0,9.423107147216797,above,5.454357147216797
raw_net0,-6.7198944091796875,below,2.7198944091796875
raw_net0,6.495006561279297,above,2.526256561279297
raw_net0,4.749693393707275,above,0.7809433937072754
raw_net0,5.628614902496338,above,1.659864902496338
raw_net0,-4.990135669708252,below,0.990135669708252
raw_net0,5.231298923492432,above,1.2625489234924316
raw_net0,7.995578765869141,above,4.026828765869141
raw_net0,-6.769772052764893,below,2.7697720527648926
raw_net0,-7.951274871826172,below,3.951274871826172
raw_net0,4.406702995300293,above,0.43795299530029297
raw_net0,-13.07374095916748,below,9.07374095916748
raw_net0,5.729241371154785,above,1.7604913711547852
raw_net0,-11.735486030578613,below,7.735486030578613
raw_net0,8.349995613098145,above,4.3812456130981445
raw_net0,-20.315120697021484,below,16.315120697021484
raw_net0,6.934185028076172,above,2.965435028076172
raw_net0,-6.629121780395508,below,2.629121780395508
raw_net0,-5.710736274719238,below,1.7107362747192383
raw_net0,5.087637424468994,above,1.1188874244689941
raw_net0,-5.0091471672058105,below,1.0091471672058105
raw_net0,-4.113127708435059,below,0.1131277084350586
raw_net0,6.004788875579834,above,2.036038875579834
raw_net0,5.479569911956787,above,1.510819911956787
raw_net0,8.91331958770752,above,4.9445695877075195
raw_net0,11.820181846618652,above,7.851431846618652
raw_net0,5.463829517364502,above,1.495079517364502
raw_net0,-4.089983940124512,below,0.08998394012451172
raw_net0,-11.706137657165527,below,7.706137657165527
raw_net0,7.315489768981934,above,3.3467397689819336
raw_net0,8.046146392822266,above,4.077396392822266
raw_net0,4.758647918701172,above,0.7898979187011719
raw_net0,-4.142622947692871,below,0.1426229476928711
raw_net0,-5.683411121368408,below,1.6834111213684082
raw_net0,-7.90566349029541,below,3.90566349029541
raw_net0,9.908080101013184,above,5.939330101013184
raw_net0,-7.762007713317871,below,3.762007713317871
raw_net0,-4.0135722160339355,below,0.013572216033935547
raw_net0,-6.311512470245361,below,2.3115124702453613
raw_net0,-4.004249095916748,below,0.004249095916748047
raw_net0,-4.0145955085754395,below,0.014595508575439453
raw_net0,4.683562278747559,above,0.7148122787475586
raw_net0,4.395855903625488,above,0.4271059036254883
raw_net0,7.084676265716553,above,3.1159262657165527
raw_net0,-9.347747802734375,below,5.347747802734375
raw_net0,-6.260366916656494,below,2.260366916656494
raw_net0,5.036581039428711,above,1.067831039428711
raw_net0,5.111406326293945,above,1.1426563262939453
raw_net0,4.902735710144043,above,0.933985710144043
raw_net0,6.427809238433838,above,2.459059238433838
raw_net0,-4.442621231079102,below,0.44262123107910156
raw_net0,4.0510149002075195,above,0.08226490020751953
raw_net0,-12.998387336730957,below,8.998387336730957
raw_net0,-14.356917381286621,below,10.356917381286621
raw_net0,-4.107805252075195,below,0.10780525207519531
raw_net0,-9.459538459777832,below,5.459538459777832
raw_net0,-4.78498649597168,below,0.7849864959716797
raw_net0,11.581419944763184,above,7.612669944763184
raw_net0,5.012849807739258,above,1.0440998077392578
raw_net0,-10.795270919799805,below,6.795270919799805
raw_net0,5.796164512634277,above,1.8274145126342773
raw_net0,-19.379425048828125,below,15.379425048828125
